client_id,client_name,email,phone_number,address,type_id,status_id,registration_date
1,John Doe,john.doe@example.com,(555) 123-4567,123 Elm St,1,1,2020-05-10
2,Jane Smith,jane.smith@example.com,(555) 234-5678,456 Oak St,2,1,2019-06-15
3,Bob Johnson,bob.johnson@example.com,(555) 345-6789,789 Pine St,3,2,2018-07-20
4,Alice Williams,alice.williams@example.com,(555) 456-7890,101 Maple St,1,1,2021-01-22
5,Charlie Brown,charlie.brown@example.com,(555) 567-8901,202 Birch St,2,1,2020-11-03
6,Daniel Martinez,daniel.martinez@example.com,(555) 678-9012,303 Cedar St,1,1,2019-03-14
7,Emma Wilson,emma.wilson@example.com,(555) 789-0123,404 Spruce St,2,1,2021-05-05
8,Frank Thomas,frank.thomas@example.com,(555) 890-1234,505 Redwood St,3,2,2018-08-09
9,Grace Lee,grace.lee@example.com,(555) 901-2345,606 Fir St,1,1,2020-02-10
10,Henry King,henry.king@example.com,(555) 012-3456,707 Pinecrest St,2,1,2019-10-25
11,Ivy Scott,ivy.scott@example.com,(555) 123-5678,808 Birchwood St,3,2,2018-09-15
12,Jack Harris,jack.harris@example.com,(555) 234-6789,909 Maplewood St,1,1,2021-06-20
13,Kate Lewis,kate.lewis@example.com,(555) 345-7890,1001 Oakwood St,2,1,2019-07-18
14,Liam Young,liam.young@example.com,(555) 456-8901,1102 Cedarwood St,3,2,2020-04-12
15,Mona Adams,mona.adams@example.com,(555) 567-9012,1203 Pinewood St,1,1,2021-02-14
16,Nate Perez,nate.perez@example.com,(555) 678-0123,1304 Maplewood St,2,1,2018-06-22
17,Olivia Harris,olivia.harris@example.com,(555) 789-1234,1405 Birchwood St,3,2,2019-05-30
18,Paul Nelson,paul.nelson@example.com,(555) 890-2345,1506 Firwood St,1,1,2020-12-03
19,Quincy Clark,quincy.clark@example.com,(555) 901-3456,1607 Sprucewood St,2,1,2021-01-08
20,Rachel Allen,rachel.allen@example.com,(555) 012-4567,1708 Redwoodwood St,3,2,2018-07-25
21,Sam Green,sam.green@example.com,(555) 123-6789,1809 Pinewood St,1,1,2019-11-05
22,Tina Baker,tina.baker@example.com,(555) 234-7890,1910 Birchwood St,2,1,2020-02-19
23,Uma Roberts,uma.roberts@example.com,(555) 345-8901,2001 Oakwood St,3,2,2021-03-12
24,Victor Walker,victor.walker@example.com,(555) 456-9012,2102 Cedarwood St,1,1,2019-09-22
25,Willian Lewis,willian.lewis@example.com,(555) 567-0123,2203 Maplewood St,2,1,2020-10-05
26,Xander Mitchell,xander.mitchell@example.com,(555) 678-1234,2304 Pinewood St,3,2,2018-07-10
27,Yvonne Edwards,yvonne.edwards@example.com,(555) 789-2345,2405 Birchwood St,1,1,2020-09-30
28,Zack Evans,zack.evans@example.com,(555) 890-3456,2506 Firwood St,2,1,2021-04-18
29,Amelia Taylor,amelia.taylor@example.com,(555) 901-4567,2607 Sprucewood St,3,2,2019-12-01
30,Benjamin Morris,benjamin.morris@example.com,(555) 012-5678,2708 Redwoodwood St,1,1,2020-07-22
31,Cleo Johnson,cleo.johnson@example.com,(555) 123-7890,2809 Pinewood St,2,1,2021-08-05
32,David Moore,david.moore@example.com,(555) 234-8901,2901 Birchwood St,3,2,2019-02-16
33,Elena Martinez,elena.martinez@example.com,(555) 345-9012,3002 Oakwood St,1,1,2020-03-09
34,Frederick Clark,frederick.clark@example.com,(555) 456-0123,3103 Cedarwood St,2,1,2018-12-20
35,Georgia Carter,georgia.carter@example.com,(555) 567-1234,3204 Maplewood St,3,2,2021-02-01
36,Henry James,henry.james@example.com,(555) 678-2345,3305 Pinewood St,1,1,2019-06-29
37,Irene White,irene.white@example.com,(555) 789-3456,3406 Birchwood St,2,1,2020-01-14
38,James Taylor,james.taylor@example.com,(555) 890-4567,3507 Oakwood St,3,2,2021-07-08
39,Katherine Nelson,katherine.nelson@example.com,(555) 901-5678,3608 Cedarwood St,1,1,2019-04-03
40,Liam Wilson,liam.wilson@example.com,(555) 012-6789,3709 Maplewood St,2,1,2020-11-15
41,Mia Collins,mia.collins@example.com,(555) 123-8901,3801 Pinewood St,3,2,2018-05-05
42,Noah King,noah.king@example.com,(555) 234-9012,3902 Birchwood St,1,1,2021-09-25
43,Olivia Lewis,olivia.lewis@example.com,(555) 345-0123,4003 Oakwood St,2,1,2020-08-12
44,Paul Walker,paul.walker@example.com,(555) 456-1234,4104 Cedarwood St,3,2,2019-01-01
45,Quinn Mitchell,quinn.mitchell@example.com,(555) 567-2345,4205 Maplewood St,1,1,2020-05-30
46,Rachel Wilson,rachel.wilson@example.com,(555) 678-3456,4306 Pinewood St,2,1,2021-06-07
47,Samuel Thomas,samuel.thomas@example.com,(555) 789-4567,4407 Birchwood St,3,2,2018-11-11
48,Tracy Roberts,tracy.roberts@example.com,(555) 890-5678,4508 Oakwood St,1,1,2020-02-22
49,Uma Harris,uma.harris@example.com,(555) 901-6789,4609 Cedarwood St,2,1,2021-03-30
